id,name,nick_name,wins,losses,draws
749f572d1d3161fb,Khalil Rountree Jr.,,15,7,0
feedf3053472fe56,Charles Radtke,Chuck Buffalo,11,5,0
129537073431e52e,Garett Whiteley,Goodnight,7,3,0
c24b1db4b809d41b,Renato Verissimo,Charuto,7,5,0
2b6fc1c02736833d,Umar Nurmagomedov,,20,1,0
946db8a378903cc3,Joe Giannetti,,6,1,0
6c9b66b43663f2f7,Viktoriia Dudakova,,8,2,0
b50a426a33da0012,Sean O'Malley,Suga,19,3,0
52e76bb4b3e852f3,Antonio Carlos Junior,Cara de Sapato,11,5,0
f41b9f5efc7162d6,Jamal Pogues,,11,5,0
a20f234df70f2182,Ji Yeon Kim,Firefist,9,7,2
3138fab619faf4d1,Brian Cobb,,20,9,0
a6d8bfe9e0c8153b,Kevin Burns,The Fire,12,7,0
2e25c1d983c26311,Colton Smith,,7,4,0
d4691518d012b9e7,Aspen Ladd,,9,3,0
9147679e1a4ad4a3,Richardson Moreira,Rick Monstro,7,4,0
45f7cb591c3ab00b,Sean Brady,,18,2,0
1effd880e1f1bb30,Garrett Armfield,,10,5,0
71f048adbfed5b49,Sabah Homasi,,11,8,0
4a07b1988477502c,Seokhyeon Ko,The Korean Tyson,13,2,0
00a3ff40c4b2cf21,Glaico Franca Moreira,Nego,15,5,0
a20d7dfaba74c067,Rodrigo Damm,,13,9,0
16690d100f995f8f,Omari Akhmedov,Wolverine,21,6,1
76984112f697631f,Leslie Smith,The Peacemaker,10,7,1
2efbc83a6b9b7f86,Tai Bowden,,1,1,0
96d173b7f92aa520,Onassis Parungao,,2,1,0
c6da1c24fe473418,Julian Sanchez,,0,1,0
1e35aa8955794580,Ulysses Gomez,Useless,9,5,0
5cafbc97dba2e797,Robert McDaniel,Bubba,28,10,0
4f732e58ed907eff,Ross Pearson,The Real Deal,20,16,0
aceffa19749c4dc0,Zubaira Tukhugov,Warrior,20,6,1
7d420039bbfe7c1a,Aoriqileng,The Mongolian Murderer,26,12,0
ddbe4fa2ea573393,Jimmy Quinlan,Crash,3,1,1
2844b047183a1adb,Luis Pena,Violent Bob Ross,9,3,0
d945aae53e3e54e6,Thiago Moises,,19,9,0
52cae54377b433b7,Nate Quarry,Rock,12,4,0
12f91bfa8f1f723b,Joanne Wood,JoJo,17,8,0
918d9d89d4d52acc,Anthony Torres,The Crush,5,3,0
04c15b52c3cc1cab,Nate Mohr,,9,7,0
f3ca6908f78efebe,Terrence Mitchell,,14,4,0
3623bd267a2eef2e,Yaotzin Meza,,21,11,0
d6c0cdd7e467c440,Kyle Daukaus,,17,4,0
f201f21cf2c79eb2,Sebastian Szalay,Seb,10,2,0
dd8aec6de7035943,Dan Evensen,The Viking,11,4,0
a6cba6bb66c1a8c9,Danny Roberts,Hot Chocolate,18,8,0
30a09e43f15f1d75,Paulo Thiago,,18,9,0
6add18754930182b,Julius Walker,Juice Box,7,2,0
a112097ad877a48f,Alberto Montes,The Promise,12,1,0
0112352cb32f5026,Denis Tiuliulin,,10,10,0
f0264252e191da22,Jason Thacker,,0,1,0
0d5cc0170c1a7e71,Mick Parkin,,10,1,0
d62e280d0f7b6d6f,Luke Fernandez,,6,1,0
fbb60f24af5d5a02,Torrez Finney,The Punisher,11,1,0
13c4313ed0f744f3,Brad Kohler,,12,15,0
3e514f437c51ce0a,Steven Graham,,2,1,0
bd5403efbaa445c0,Sean Soriano,,14,8,0
8f3df4c579cfbb69,David Mitchell,Daudi,22,7,0
19db7ac26308178f,Ivan Jorge,Batman,27,7,0
72f890c5d421e705,Matheus Camilo,Jaguar,10,3,0
a17ad5a5048e8c3f,Darren Stewart,The Dentist,12,8,0
bc3ec52ef70fc155,Ryan Jimmo,The Big Deal,19,5,0
b6452706b373eea1,Renato Moicano,,20,7,1
d26934530dc5b248,Gilbert Aldana,El Peligro,6,2,0
8e6654e9f0461b8f,Cody Haddon,,8,1,0
147e70aa6cc48cfc,Tresean Gore,Mr. Vicious,6,4,0
1ea8df62b3f8fea6,Justin James,,13,7,0
c549573c0df4d676,Maki Pitolo,Coconut Bombz,13,9,0
d1feea7a4bdcd503,Baisangur Susurkaev,Hunter,11,0,0
9199e0735b83dd32,Andy Anderson,The Hammer,0,1,0
47b9e0e7703a4868,Jorge Masvidal,Gamebred,35,17,0
b2e3aca4cd363477,Chris Cariaso,Kamikaze,17,8,0
6cbb7661c3258617,Felix Lee Mitchell,,2,7,0
6905d45bd71b50a9,Leo Kuntz,The Lion,18,4,1
fb1538b46877a695,Jonathan Goulet,The Road Warrior,23,12,0
ec52462a1b41f714,Brett Johns,The Pikey,17,2,0
d1e7fc58d4225cdf,Danny Castillo,Last Call,17,10,0
7a703c565ccaa18f,Jacare Souza,,26,10,0
1291edf2d566a71a,Julio Arce,,19,6,0
915c8d39d4a0e7d1,Ramiro Hernandez,Junior,19,9,0
23024fdfc966410a,Gilbert Burns,Durinho,22,9,0
53c943c873cffe90,Philipe Lins,Monstro,18,5,0
ab2a4b5e04dc5fe9,Alvin Hines,Goozie,7,1,0
dcbf01d605681ad1,Elizabeth Phillips,,6,6,0
7dfb56f24fe5ddea,Bobby Nash,,8,4,0
40f3cb27fc7305a1,Themba Gorimbo,The Answer,14,6,0
66e98b3bb5fc5250,Dan Moret,The Hitman,13,6,0
cffb87059e645bd1,Denise Gomes,Dee,12,3,0
afdb76fbd86f6d11,Edilberto de Oliveira,Crocota,29,15,2
b9437600497350f3,Joaquin Buckley,New Mansa,21,7,0
e9bc5748e6a76bb6,Ashkan Mokhtarian,The Assassin,13,3,0
21b8a0f5c231096f,Mark Coleman,The Hammer,16,10,0
447f9858ae78f921,Muslim Salikhov,King of Kung Fu,22,6,0
8270c00fae24c922,Dileno Lopes,,19,3,0
1d239d571e342453,Germaine de Randamie,The Iron Lady,10,5,0
132deb59abae64b1,Valentina Shevchenko,Bullet,26,4,1
a1b0715c4fd2dbd3,Azamat Gashimov,,8,3,0
56f7d7ee06be4aab,Zac Pauga,The High Chief,7,3,0
b671bdf981ad527d,HyunSung Park,Peace of Mind,10,2,0
98e946879ba20c0f,Boston Salmon,Boom Boom,6,3,0
547afe1017e72dbe,Phil Hawes,No Hype,12,6,0
70380ccdc81915b8,Yadier del Valle,The Cuban Problem,10,1,0
0f3a990526c5e706,Sean Sharaf,The Smoke,4,2,0
31d7446b184e3305,Magomed Mustafaev,The Sniper,14,4,0
4665f9f909cd7214,Shinsho Anzai,Animal,10,3,0
029eaff01e6bb8f0,Dustin Poirier,The Diamond,30,10,0
338a11d3674eb2d4,Aaron Wilkinson,The Daywalker,11,7,0
1fcfc3709fe58151,Peter Sobotta,,17,7,1
4985113c0928aa62,Jackie Lee,,0,1,0
acb36c908d415c4a,Vinicius Moreira,Mamute,9,5,0
4144798612ef96e5,Edmen Shahbazyan,The Golden Boy,16,5,0
270b89c00ef0c55c,Gabriel Gonzaga,Napao,17,11,0
a17322f99ddfd8e9,Bristol Marunde,,16,10,0
8b1ed83b02303075,Taylor Lapilus,Double Impact,21,4,0
33011768c3c4dc9a,Terry Etim,,16,5,0
9dedfdd91070ddd8,Victoria Leonardo,Fury,9,7,0
f348d05403fad037,Dan Bobish,,17,9,0
1cecc8fe6748a532,Stephen Bass,Bigfish,11,2,0
a390eb8a9b2df298,Chuck Liddell,The Iceman,21,8,0
c7d7fda69ec410d3,Kamuela Kirk,The Jawaiian,12,6,0
3e8118c1ab52f211,Tuco Tokkos,,11,5,0
0d65c432720accb9,Michal Oleksiejczuk,Hussar,22,9,0
072a10e85f7d4bff,Milana Dudieva,,11,6,0
c7c39e2fb70248b3,Chad Anheliger,The Monster,13,8,0
a29db9cd4f9ccea5,Natan Levy,Lethal,8,2,0
9b198c73e3d0d289,Justin Salas,J-Bomb,12,7,0
4ae4049426e0161d,Alexis Dufresne,Sneaky Zebra,6,3,0
0845c81e37d3bcb3,Volkan Oezdemir,No Time,21,8,0
9f5e3c20ce40b344,Klaudia Sygula,,8,2,0
0cf935519d439ba6,Enson Inoue,Yamato Damashii,12,8,0
eb70e786bbdf1d16,Yanis Ghemmouri,The Desert Warrior,12,3,0
276c60b14b571dd4,Takenori Sato,,19,11,7
2c483cf443f38ece,Vanessa Demopoulos,Lil Monster,11,8,0
a08d909a5be6f410,Eliot Marshall,Fire,10,4,0
abd2109bc4cb0291,Bentley Syler,Bolivia,5,1,0
8c822811eedc11ad,Anton Zafir,The Professor,7,3,0
11583163f45c7b31,Lucas Alexander,The Lion,8,5,0
ebef46976554f975,Jordan Griffin,Native Psycho,18,9,0
c5af5750e8bae4f0,Kyle Bochniak,Killer B,8,5,0
8f5c8850b2484173,Mairbek Taisumov,Beckan,27,6,0
2c99576fefe53c7c,Renan Barao,The Baron,34,9,0
d41937647eae9a34,Reza Nasri,,0,1,0
84f727cf0166d6f2,Jose Johnson,Zhakwarius,16,10,0
40ff198adda94b9f,Mark Eddiva,,6,3,0
294aa73dbf37d281,Bruno Silva,Bulldog,15,7,2
f998f5c102250d6e,Yohan Lainesse,White Lion,9,3,0
54578e5927adea53,Richie Vaculik,Vas,10,4,0
e7ec11096eac0282,Adrian Serrano,,56,29,4
db1f2ed63b54b9a7,Hector Lombard,,34,10,1
480779d7f9a424d3,Mairon Santos,The Legend,18,1,0
20999e27ddd94bda,Ryan Benoit,Baby Face,10,8,0
231926533134ec1f,Justin Buchholz,,15,10,0
621a6c59f88a44fe,Matt Hughes,,45,9,0
ba1e6cb3d43f7430,Justin Ledet,El Blanco,9,4,0
b35a159f525764eb,Chris Saunders,The So Cal Kid,16,8,0
bb1a2cdad6ff34db,Jason Knight,The Kid,20,5,0
be5cfd73617a5b1a,Javier Vazquez,Showtime,16,5,0
5580771f383e141f,Jesse Ronson,The Body Snatcher,21,12,0
56709e66f1c6008f,Cole Smith,The Cole Train,7,2,0
b2acebbef8da14ea,Akihiro Gono,,35,21,8
